,text,score
12,"Demorei uns dias usando para fazer minha avaliação para ter certeza a entrega é rápida porém vem mal embalado como já falaram , o celular esquenta bastante quando tá sendo carregado e quando está em uso normal do nada parece q pegando fogo e eu tenho q tirar a capinha e parar um pouco o uso  , a bateria continua horrível nível Apple , o celular é bonito e a câmera é boa mas só a traseira é é isso não vele o preço .",1
13,"Nao gostei, comprei um iPhone achando que era novo, pelo chegou um iPhone que não liga, com parafuso enferrujado e com arranhões na tela. Desde dia 3 de dezembro estou tentando fazer a devolução mais sem suceso. Nao recomendo",1
14,"Celular zerado e já tenho que levar na Apple amanhã para avaliar o celular, pois o NFC não funciona. Caixa veio estourada.",1
15,"O produto está tudo ok, mas paguei a mais para entrega do 10/12 até as 20:00, onde o entregador liga bem depois desse horário e não fez a entrega conforme estava combinado, gostaria da minha devolução.",1
16,"Recebi na sexta (18/10) o produto em minha residência. Ao tentar ligar a tela, o iPhone nunca inicializou. Entrei em contato com o suporte da Apple e estou seguindo os trâmites para de fato ter um iPhone funcionante. Voltarei para deixar o fim da história registrado aqui. Torçam por mim. :(",1
17,Já tive vários iphones e esse foi o único que me decepcionou. A bateria não dura nada e a conexão falha o tempo todo. Já entrei em contato com a apple que me disse não identificar problemas.,1
18,"Após 1 semana usado, o aparelho começou a desligar sozinho, não obedece comandos e apareceu uma mensagem que a bateria não estava sendo reconhecida e possivelmente veio com defeito.",1
19,Infelizmente com 15 dias o touch-screen parou de funcionar. Mas foi muito tranquilo fazerxa devolução. Estou no aguardo para fazer a compra de outro aparelho.,1
20,"O produto veio com defeito no cabo de alimentação e encaixe para recarregar. Porém, quando peço suporte não sou atendido.",1
21,"O celular chegou rápido, porém jogaram a caixa por cima do portão e foram embora, não foi entregue em mãos. Um absurdo, isso nunca tinha acontecido antes com um produto Amazon, que eu comprei. Sorte que aparentemente está tudo ok e funcionando. Mas o serviço de entrega foi decepcionante.",1
22,Da finalização da compra não pediram o código do cartão e a compra seria parcelada em 12x e não foi deveria ter cancelado,1
23,"O iphone começou a travar e desligava, ficava com a tela com alguns detalhes estranhos. Ele ligava depois de um certo tempo mas acaba travando e desligando novamente. Foi preciso devolver e pedi o reembolso, vi que outra pessoa aqui também passou por isso há 3 meses.",1
24,"Achei que a bateria durasse mais, outro ponto, foi que o produto vem sem nota fiscal.",1
25,"O celular é ótimo, mas o cabo para carregar veio sem funcionar 🥲",1
26,"O presente de dia dos pais, virou uma decepção.",1
27,"O produto chegou, mas com dois dias de uso começou a dar pane no aparelho e ele começou a reiniciar sozinho num loop infinito. Estou decepcionado dias esperando ansioso para ter meu primeiro iPhone 15 e me acontece isso.",1
28,"Depois de 3 meses ele ligava mas não acessava nada. Frustração! Vai ser levado para a loja Apple na Barra, não sei quando o terei novamente .",1
29,"Celular travou algumas vezes, bateria não durava até o almoço, pedi a troca, e agendaram a nova entrega para 15 dias após receberem o celular defeituoso.",1
30,Meu celular apresenta problema durante o carregamento. Não está funcionado bem. Não apareceu a possibilidade de entrar em contato com o vendedor.,1
31,O produto é um aparelho d celular q custa quase 6 mil .e o entregador só jogou na varanda,1
32,"A transportadora não me entregou o produto e deu como entregue. Mas o celular com certeza deve ser de ótima qualidade, assim como todos os celulares da Apple.",1
33,Nao gostei de nada,1
34,Decepção,1
35,Eu não consigo mais fazer o restreio do meu,1
36,O carregador não funciona,1
37,Nao te avisam que nao acompanha o carregador. Um preço alto em um equipamento que não pode ser carregado. O carregador deve ser comprado a parte por quase 300.,1
38,"Aparelho iPhone 15 veio com defeito, não sai da tela de boas vindas.",1
39,NAO COMPREEM!!!! TUDO ENGANAÇÃO!,1
40,"Ótimo aparelho, porém, entrega demorada e colocaram o celular todo largado na caixa, nem um plástico bolha colocaram para proteger o aparelho.",2
41,"A câmera é ótima, várias opções de configuração, celular funciona perfeitamente, super rápido, porém a bateria dura muito pouco, se usar muito só deixando direto na tomada.",2
42,"O cabo do carregador não conecta direito, ficando solto ou frouxo, o que impossibilita o carregamento do aparelho. Triste com a compra.",2
43,"Gostaria de saber como solicitar a troca do produto, pois o celular veio com defeito",2
44,"O aparelho é nota 10. Mas a caixa veio “raspada” em uma parte e amassada. Não fiz a reclamação e ou devolução pois estava precisando do aparelho, mas a caixa foi pro lixo.",2
45,Celular apresentou travamento e precisa reiniciar constantemente com 2 semanas de uso.,2
46,"Ótimo aparelho, porém, entrega demorada e colocaram o celular todo largado na caixa, nem um plástico bolha colocaram para proteger o aparelho.",2
47,"A câmera é ótima, várias opções de configuração, celular funciona perfeitamente, super rápido, porém a bateria dura muito pouco, se usar muito só deixando direto na tomada.",2
48,"O cabo do carregador não conecta direito, ficando solto ou frouxo, o que impossibilita o carregamento do aparelho. Triste com a compra.",2
49,"Gostaria de saber como solicitar a troca do produto, pois o celular veio com defeito",2
50,"O aparelho é nota 10. Mas a caixa veio “raspada” em uma parte e amassada. Não fiz a reclamação e ou devolução pois estava precisando do aparelho, mas a caixa foi pro lixo.",2
51,Celular apresentou travamento e precisa reiniciar constantemente com 2 semanas de uso.,2
52,"A câmera é muito boa, mas este iPhone deixa muito a desejar. Carregar vídeos no Instagram é extremamente lento, além de diversos bugs no Instagram e outros aplicativos como WhatsApp, o que me prejudica mto já que uso esse aparelho para trabalhar. Além desse transtorno aí vem a parte pior: a gravação dos vídeos fica picotada no meio!",3
53,"cara, sinceramente? parece que o touch é pior que o do 13 e 14 às vezes passo o dedo pra deslizar pra cima ou pra baixo no insta ou num site e na altura do “D” no teclado não funciona, não sei se é defeito ou se era pra ter esse comportam mesmo um outro ponto de observação ao touch é que em botões muito pequenos vc clica e não vai, acho q pode estar quebrado o meu touch ou com falhas, tá bem estressante, um outro ponto é que paguei pelo frete prioritário e a migué que deram foi de o motorista nao encontrou o endereço sendo que já fiz várias compras e nunca deu erro com endereço, liguei no suporte da amazon e eles falaram que atualizou o aplicativo de gps do motorista, se eu soubesse disso teria ido de frete grátis",3
54,Aparelho trava muito até mesmo em msg WhatsApp.,3
55,"Produto excelente, como esperava, bateria a melhor da Apple, câmera muito boa.",3
56,"NENHUM cuidado com a embalagem, a caixa do iphone veio até suja e amassada.",3
57,Nada de novo. Custo x benefício tendendo a zero,3
58,Antes de pegar o 15 estava com o Xs que usei durante quase 5 anos. Esperava um salto entre os dois mas na verdade não vi nada de mais a não ser a qualidade da câmera.,3
59,"Bom, o aparelho chegou antes do prazo, porém, a comunicação com a transportadora é de pessíma qualidade. No entanto, chegou tudo certo.",3
60,"celular maravilhoso óbvio, mas demorou demais pra ser entregue e veio solto numa caixa enorme, sorte q não quebrou mas não tem cuidado nenhum",3
61,O celular é maravilhoso..,3
62,"A câmera é muito boa, mas este iPhone deixa muito a desejar. Carregar vídeos no Instagram é extremamente lento, além de diversos bugs no Instagram e outros aplicativos como WhatsApp, o que me prejudica mto já que uso esse aparelho para trabalhar. Além desse transtorno aí vem a parte pior: a gravação dos vídeos fica picotada no meio!",3
63,"cara, sinceramente? parece que o touch é pior que o do 13 e 14 às vezes passo o dedo pra deslizar pra cima ou pra baixo no insta ou num site e na altura do “D” no teclado não funciona, não sei se é defeito ou se era pra ter esse comportam mesmo um outro ponto de observação ao touch é que em botões muito pequenos vc clica e não vai, acho q pode estar quebrado o meu touch ou com falhas, tá bem estressante, um outro ponto é que paguei pelo frete prioritário e a migué que deram foi de o motorista nao encontrou o endereço sendo que já fiz várias compras e nunca deu erro com endereço, liguei no suporte da amazon e eles falaram que atualizou o aplicativo de gps do motorista, se eu soubesse disso teria ido de frete grátis",3
64,Aparelho trava muito até mesmo em msg WhatsApp.,3
65,"Produto excelente, como esperava, bateria a melhor da Apple, câmera muito boa.",3
66,"NENHUM cuidado com a embalagem, a caixa do iphone veio até suja e amassada.",3
67,Nada de novo. Custo x benefício tendendo a zero,3
68,Antes de pegar o 15 estava com o Xs que usei durante quase 5 anos. Esperava um salto entre os dois mas na verdade não vi nada de mais a não ser a qualidade da câmera.,3
69,"Bom, o aparelho chegou antes do prazo, porém, a comunicação com a transportadora é de pessíma qualidade. No entanto, chegou tudo certo.",3
70,"celular maravilhoso óbvio, mas demorou demais pra ser entregue e veio solto numa caixa enorme, sorte q não quebrou mas não tem cuidado nenhum",3
71,O celular é maravilhoso..,3
72,"a entrega foi muito rápida (4 dias) pra Sp, e veio tudo certo.. A embalagem deixa muito a desejar, tendo em vista que é um aparelho caro, veio somente em uma caixa de papelão fechada, sem emabalagens de proteção",3
73,"Adorei, recebi no prazo, muita segurança e o produto veio impecável",3
74,Tive problema para carregar. O cabo que veio não está funcionando.,3
75,"Estou dando três estrelas não pelo aparelho, q por sinal é maravilhoso. Mas o entregador jogou o pacote aqui dentro, podia ter quebrado.",3
76,"O produto aparentemente é maravilhoso! Porém tive dificuldades para iniciar o uso, em razão da demora para atualização e depois para transferência de dados, mesmo tendo um internet relativamente rápida! Após muito tempo conseguir realizar a configuração porém acabei não conseguindo migrar todos os dados dos aparelho antigo pra o novo. E por fim, o cabo de carregamento veio com defeito, conectado no aparelho ele não inicia o carregamento da bateria. Tive que me valer de um cabo paralelo para carregar pois o original não funciona 🤨",3
77,"o iPhone é muito lindo e fluído! o funcionamento do sistema é ótimo, não travou em nenhum momento (mesmo atualizando pra versão mais recente). o problema que surgiu nele de início, após ligar, começou a esquentar e cheguei a ficar com medo de acontecer alguma coisa, mas depois disso, foi bem de boa! isso também depende do clima local.",4
78,"O aparelho veio rápido funcionando, mas o cabo do carregador não funciona. Usei com um adaptador original que tinha do meu iPhone 11 mas não carregou.",4
79,"Produto da Apple nunca deixa a desejar, mas dessa vez sugiro que a bateria poderia ser melhor",4
80,"Estou usando há quase 2 semanas e estou adorando! Excelente celular. Entrega chegou no prazo. Só acho que a embalagem podia ser mais segura, veio solto em uma caixa de papelao sem nenhuma proteção, mas chegou direitinho apesar disso.",4
81,"iPhone dispensa comentários sistema ótimo rápido um celular extremamente confiável, não vale o preço que está sendo comercializado mas enfim de resto é só ótimo celular  rápido fluido",4
82,Atende as expectativas,4
83,"Produto veio sem proteção entre o produto e a caixa. Apesar da situação, celular veio em perfeito funcionamento e integridade.",4
84,"O produto é maravilhoso, mas a entrega é demorada.",4
85,"tirando o fato que não teve nenhuma proteção no pedido, veio em perfeito estado. Minha primeira experiência usando o sistema iOS",4
86,Faltou a Nota Fiscal…,4
87,"o iPhone é muito lindo e fluído! o funcionamento do sistema é ótimo, não travou em nenhum momento (mesmo atualizando pra versão mais recente). o problema que surgiu nele de início, após ligar, começou a esquentar e cheguei a ficar com medo de acontecer alguma coisa, mas depois disso, foi bem de boa! isso também depende do clima local.",4
88,"O aparelho veio rápido funcionando, mas o cabo do carregador não funciona. Usei com um adaptador original que tinha do meu iPhone 11 mas não carregou.",4
89,"Produto da Apple nunca deixa a desejar, mas dessa vez sugiro que a bateria poderia ser melhor",4
90,"Estou usando há quase 2 semanas e estou adorando! Excelente celular. Entrega chegou no prazo. Só acho que a embalagem podia ser mais segura, veio solto em uma caixa de papelao sem nenhuma proteção, mas chegou direitinho apesar disso.",4
91,"iPhone dispensa comentários sistema ótimo rápido um celular extremamente confiável, não vale o preço que está sendo comercializado mas enfim de resto é só ótimo celular  rápido fluido",4
92,Atende as expectativas,4
93,"Produto veio sem proteção entre o produto e a caixa. Apesar da situação, celular veio em perfeito funcionamento e integridade.",4
94,"O produto é maravilhoso, mas a entrega é demorada.",4
95,"tirando o fato que não teve nenhuma proteção no pedido, veio em perfeito estado. Minha primeira experiência usando o sistema iOS",4
96,Faltou a Nota Fiscal…,4
97,"Muito bom, porém esse modelo é recorrente a alguns bugs e volta e meia trava, mas fora isso é muito bom e a cor é super estilosa",4
98,"Comprei de noite e no dia seguinte pela manhã recebi o produto, em menos de 24hrs...",4
99,"Excelente produto, não tive problemas em relação ao fato de esquentar. Como o meu uso de celulares é bem básico, supriu minhas necessidades de forma tranquila. A cor verde é bonita, mas não é nada WOW.",4
100,"O celular é lindo, porém veio muito mau embalado! O celular veio numa caixa grande e não preencheram com saco bolha ou papel amassado, com isso o aparelho fica dançando dentro da caixa de entrega. espero q o transporte não tenha prejudicado o aparelho",4
101,No geral é bom mesmo.,4
102,Gosto da Apple mas esse iPhone é semelhante ao meu anterior iPhone 13. Sem novidades.,4
103,"Chegou lindo e como esta nas reviews. Porém a nova atualização estava com muitos bugs, vergonhoso!",4
104,Tenho a sensação de que esperava mais,4
105,"4 estrelas por chegar dentro do prazo de entrega, pela qualidade do produto e pelo preço.",4
106,"Não gostei de como a Amazon enviou ele dentro de uma caixa, jogado sem nenhum plástico bolha pelo menos, pode ter ficado batendo de um lado para outro a viagem toda mas tirando isso, super satisfeito, apesar do preço horroroso, o celular é uma maravilha com um desempenho excelente e lindo demais, gostei muito!",4
107,"Comprei o15 pela island da tela e entrada usb, mas nao tem tanta diferença assim de um 14 q era o q tinha em mente. Deveria ter comprado msm o 14 com 256g q estava o msm valor do 15 com apenas 128g bem salgado. A câmera sensacional!",4
108,Produto conforme anúncio. Iphone é Iphone.,4
109,"Produto perfeito, não tenho nem o que comentar.",4
110,"Produto chegou lacrado, funcionando direitinho. Porém a entrega é uma das piores experiências pra quem espera um produto com este valor vindo do brasil. Demorou 2 semanas pra chegar, mais de uma semana pra enviar o produto e informações de rastreio que da um susto no coração, com notificação que o produto saiu pra entrega e que chegaria hoje numa sexta feira em uma cidade 300km de distancia da minha. Acabei recebendo o produto na segunda feira, no final da tarde, sem mais nenhuma atualização no rastreio. Tive o mesmo problema de outras pessoas, veio numa caixa grande com a caixa original chacoalhando e caixa original suja nas bordas. Mas tirando isso, veio funcionando e é um otimo celular.",4
111,"Eu tinha um iPhone 13 antes do 15 . Gostei mais da qualidade deste cabo , parece ter uma maior durabilidade .So fiquei triste pq meu fone com fio não serve no meu aparelho novo .",4
112,Não venho nota fiscal! Junto ao celular,4
113,"Fiz a troca do 11 para o 15 e fiquei impressionada com a qualidade do produto, vale muito a pena! Em relação a entrega demorou 6 dias úteis para chegar (moro no interior da Paraíba), no pacote o celular veio sem nenhuma proteção na caixa, como já foi alertado pelos demais na avaliação.",4
114,"Já tive uma iphone e ipad a algum tempo, deixei de usar pelo custo, mas hoje retorno em função da durabilidade, que não ocorreu com outros aparelhos. Acho o ios muito fácil de se usar, gosto da interface e acho um aparelho muito fluído. O preço na prime day foi uma oportunidade que não sei se terá na black friday. Ponto negativo para entrega e falta de atualização.",4
115,"O iPhone é um celular maravilhoso, porém o cabo veio com defeito, não carrega.",4
116,"Pra um produto caro desse jeito, veio dentro de uma caixa grande da amazon sem nenhum plástico bolha nem nada, ele veio se batendo dentro da caixa. ainda bem que está funcionando normal e não veio nenhum arranhão. mas um perigo pra algo nesse valor. melhorem aí!",4
117,é um ótimo aparelho e o preço no Prime Day foi bem atrativo  450.00 de Cash back na Nubank mais parcelamento 12xsem juros).$4150.00.,4
118,"Bom, eu gostei do produto! Só não gostei da forma que ele vem embalado, veio com outras encomendas sem nenhuma proteção interna, apenas dentro da caixa, quatro produtos soltos dentro da caixa sem plástico bolha, sem nada para amortecer o impacto durante o transporte.",4
119,"O produto em si veio corretamente, porém levando em consideração o seu valor e a entrega pelos correios, creio que a embalagem deveria ter sido mais reforçada, pois o aparelho estava apenas dentro de uma caixa, praticamente solto. Um plástico bolha já faria diferença!!!!",4
120,Celular excelente. Não me arrependo.,4
121,"Produto ótimo, porém a entrega demorou demais, além do rastreio não atualizar nada.",4
122,"celular excelente e entrega boa porem o prazo dado foi 2 de agosto, me assustei muito e achei q ia demorar isso tudo, mas chegou dia 22, 7 dias, prazo ok, mas devia ter uma previsao mais precisa pra nao assustar a gente 👍🏻 fora isso tudo perfeito",4
123,"Topp eu sai de um iphone xr pro 15 , so nao gostei muito do tempo de entrega, mais fora isso é top comprei na prime day e chegou hoje!",4
124,"O aparelho é bonito, já conheço a marca, mas a única coisa que eu não concordo é o aparelho vir sem a tomada.",4
125,Estou com o iPhone 15 tem um mês e estou gostando. Não esperava algo diferente mesmo. É um bom produto.,4
126,Entrega rápida,4
127,Mediano,4
128,"Quanto ao celular em si, nada a declarar. Tudo como o esperado. Já a entrega foi feita até antes do prazo, porém, ele vem dentro de uma caixa com o triplo do tamanho, totalmente solto, batendo, sem nenhuma proteção. É um produto caro para ser entregue solto dentro de uma caixa maior sem estar protegido, por isso deixa a desejar. De resto tudo certo.",4
129,"Não tem o que falar, simplesmente a apple, dei 4 estrelas pois a caixa do iphone veio solta dentro da caixa da amazon, poderia ter isopor pra não ficar assim",4
130,"Comprei e o celular veio em perfeito estado, porém o cabinho do carregador veio com defeito, simplesmente não funciona.",4
131,"Chegou rápido. So a embalagem externa, não do iPhone, que chegou amassada.",4
132,"O telefone é ótimo, mas o cabo de energia veio defeituoso e não carrega o celular",4
133,O produto vem com o cabo mas sem a fonte.,4
134,Deveria ter vindo fones de ouvido,4
135,"O produto veio solto em uma caixa grande. Deveriam acolchoar o mesmo, se tratando de um produto frágil. Fora isso, tudo certo.",4
136,Acho q deveria ter muitas diferenças pq até o tamanho e o mesmo do 12,4
137,"Produto veio no prazo certo, porém não veio embrulhado para presente conforme solicitei e paguei",4
138,Eu venho de um IPhone 11 e após algumas semanas de uso já deu para notar algumas diferenças.,5
139,"Produto veio em perfeito estado, o cell é ótimo e designer muito lindo,  podem confiar e comprar sem medo. É minha primeira compra de iPhone online pois eu sempre comprei pela minha cidade, preço foi ótimo e não tive duvidas que iria chegar certinho.",5
140,"A respeito do produto, sem nenhuma surpresa! Celular top de linhas, acabamento está ótimo, as bordas estão mais arredondadas em comparação com o 13, não temos titânio nesse modelo (somente na linha Pro) mas o vidro fosco compensa, acabando com os problemas de marcas de dedo, além de ficar mais bonito. Senti diferença de desempenho e velocidade no IOS, o que foi um bom ganho. As câmeras estão melhores, agora temos zoom ótico até 2x, retrato no modo foto, 48mp, modo cinema em 4k e modo de ação. O Dynamic Island foi uma ótima adição a linha padrão e espero que tenha vindo para ficar. Em resumo, é um ótimo aparelho e o preço no Prime Day foi bem atrativo, R$ 4600 (ainda mais com parcelamento sem juros).",5
141,Não há muito o que falar. É um iPhone.,5
142,"Foi uma ótima compra, chegou rápido e cumpre tudo o que promete, a bateria dura aproximadamente 24h, dependendo do uso e otimização dos apps, a câmera é perfeita e a usabilidade do celular é fácil, recomendo demais!",5
143,"Fiz a compra no dia 4 de dezembro e entregaram dois dias mesmo com a data prevista para a próxima semana. O iPhone é excelente e não preciso me prolongar nesse tópico. Foi entregue solto na caixa sem plástico bolha, algo que sinceramente não me incomodou. A NF não vem impressa mas você encontra ela no próprio pedido de compra no site da Amazon. Comprei na Amazon por ser o melhor preço parcelado e estou muito feliz com minha compra!",5
144,"Ótimo, câmera veio boa a entrega foi super rápida..veio junto com o cabo e veio tudo embalado certinho! Recomendo, o meu veio carregando certinho! A tela tem ótima resolução!",5
145,"Ótimo produto, chegou dentro do prazo, porém a caixa do celular veio meio solta dentro da caixa maior de papelão, então imagino que deve ter ficado se mexendo durante o transporte, mas chegou em ótimo estado e sem problemas. Sobre o celular: lindíssimo, queria muito um celular rosa, e a cor dele é perfeita, nada muito chamativo mas também nada muito sem graça. Câmeras de ótima qualidade, apenas a frontal quando está meio escuro fica um pouco ruim, mas estando com uma iluminação boa ela fica perfeita, pega até os detalhes que a gente não quer kkkkk, a traseira não tenho reclamações, muito boa mesmo, e zoom ótimo. Bateria é boa mas não é nada espetacular, acho que poderia ser um pouco melhor. Tudo funciona muito bem, estou usando a duas semanas e não tive nenhum problema até agora. A fonte do carregador comprei separadamente ja que não vem junto.",5
146,"Produto conforme a descrição, novo e lacrado dentro da caixa, nada a reclamar do produto, porém, o entregador deixou o produto em frente a porta da minha casa e sequer tocou a campainha para avisar que tinha chegado e no app ainda constou que o produto havia sido entregue nas mãos do morador, para um produto desse valor esperava um pouco mais de cuidado e responsabilidade na entrega.",5
147,"Meu segundo iPhone , tirando a bateria eu gosto muito de todo o resto , eu uso muito o celular , trabalho cm ele então tem dias q eu preciso carregar até duas vezes no mesmo dia , mas pra quem faz o uso mais moderado a bateria deve durar o dia inteiro.",5
148,Eu venho de um IPhone 11 e após algumas semanas de uso já deu para notar algumas diferenças.,5
149,"Produto veio em perfeito estado, o cell é ótimo e designer muito lindo,  podem confiar e comprar sem medo. É minha primeira compra de iPhone online pois eu sempre comprei pela minha cidade, preço foi ótimo e não tive duvidas que iria chegar certinho.",5
150,"A respeito do produto, sem nenhuma surpresa! Celular top de linhas, acabamento está ótimo, as bordas estão mais arredondadas em comparação com o 13, não temos titânio nesse modelo (somente na linha Pro) mas o vidro fosco compensa, acabando com os problemas de marcas de dedo, além de ficar mais bonito. Senti diferença de desempenho e velocidade no IOS, o que foi um bom ganho. As câmeras estão melhores, agora temos zoom ótico até 2x, retrato no modo foto, 48mp, modo cinema em 4k e modo de ação. O Dynamic Island foi uma ótima adição a linha padrão e espero que tenha vindo para ficar. Em resumo, é um ótimo aparelho e o preço no Prime Day foi bem atrativo, R$ 4600 (ainda mais com parcelamento sem juros).",5
151,Não há muito o que falar. É um iPhone.,5
152,"Foi uma ótima compra, chegou rápido e cumpre tudo o que promete, a bateria dura aproximadamente 24h, dependendo do uso e otimização dos apps, a câmera é perfeita e a usabilidade do celular é fácil, recomendo demais!",5
153,"Fiz a compra no dia 4 de dezembro e entregaram dois dias mesmo com a data prevista para a próxima semana. O iPhone é excelente e não preciso me prolongar nesse tópico. Foi entregue solto na caixa sem plástico bolha, algo que sinceramente não me incomodou. A NF não vem impressa mas você encontra ela no próprio pedido de compra no site da Amazon. Comprei na Amazon por ser o melhor preço parcelado e estou muito feliz com minha compra!",5
154,"Ótimo, câmera veio boa a entrega foi super rápida..veio junto com o cabo e veio tudo embalado certinho! Recomendo, o meu veio carregando certinho! A tela tem ótima resolução!",5
155,"Ótimo produto, chegou dentro do prazo, porém a caixa do celular veio meio solta dentro da caixa maior de papelão, então imagino que deve ter ficado se mexendo durante o transporte, mas chegou em ótimo estado e sem problemas. Sobre o celular: lindíssimo, queria muito um celular rosa, e a cor dele é perfeita, nada muito chamativo mas também nada muito sem graça. Câmeras de ótima qualidade, apenas a frontal quando está meio escuro fica um pouco ruim, mas estando com uma iluminação boa ela fica perfeita, pega até os detalhes que a gente não quer kkkkk, a traseira não tenho reclamações, muito boa mesmo, e zoom ótimo. Bateria é boa mas não é nada espetacular, acho que poderia ser um pouco melhor. Tudo funciona muito bem, estou usando a duas semanas e não tive nenhum problema até agora. A fonte do carregador comprei separadamente ja que não vem junto.",5
156,"Produto conforme a descrição, novo e lacrado dentro da caixa, nada a reclamar do produto, porém, o entregador deixou o produto em frente a porta da minha casa e sequer tocou a campainha para avisar que tinha chegado e no app ainda constou que o produto havia sido entregue nas mãos do morador, para um produto desse valor esperava um pouco mais de cuidado e responsabilidade na entrega.",5
157,"Meu segundo iPhone , tirando a bateria eu gosto muito de todo o resto , eu uso muito o celular , trabalho cm ele então tem dias q eu preciso carregar até duas vezes no mesmo dia , mas pra quem faz o uso mais moderado a bateria deve durar o dia inteiro.",5
158,"Essa tem sido a minha primeira experiência com um aparelho da Apple, e eu tenho gostado bastante.  Comecei a usar no dia 17/11, e o aparelho não tem me decepcionado em nada. Sou uma usuária média em relação a telefone, logo, a bateria dura dois dias tranquilos comigo. O desempenho do aparelho é ótimo, os recursos e principalmente a câmera.",5
159,"eu migrei né, daí é um mundo totalmente diferente, mas muito fácil de se acostumar.",5
160,"Chegou todo certinho, amei bastante. O que me pegou foi a demora pra ser entregue pela transportadora loggi, horrível mesmo, tive que ir buscar na casa do entregador k",5
161,"Tudo certo com o produto, maravilhoso mesmo. Apenas fica a questão de entrega, que constava na transportadora que saiu para entrega no dia 28/11/2024 às 09:35h, porém só foi entregue no dia 29/11/2024 às 14h, então foi mais de um dia aguardando, entende-se que a saída para entrega deveria ocorrer no mesmo dia e sendo que ocorreu o mesmo com outra compra anterior com essa mesma transportadora.",5
162,"Eu tinha um iPhone 13 e troquei pelo 15!!! Gostei muito!!!!! O tom de azul é suave muito bonito!!! Houve um atraso no entrega de dois dias,mais recebi certinho!!",5
163,"Sai do IPhone 12 para o 15 e foi uma excelente escolha, em relação a desempenho não senti tanta diferença, mas a Ilha dinâmica da outra cara ao aparelho.",5
164,"Sai do 13 para o 15. O 13 é um ótimo aparelho, mas o 15 é surreal, principalmente em questão de câmeras. Amei! Além de ser muito linda a cor rosa.",5
165,"Muito bom, já usava iPhone antes o 7! To abismada da qualidade que veio o 15! To amando muito! Uso para mim mesmo pessoal e também a trabalho!",5
166,"Chegou antes da data prevista, em ótimas condições. Só liberaram após confirmar um código, garantindo a segurança do produto. Indico",5
167,"Aparelho chegou sem problemas, entrega rápida e tudo ok. É iphone, não tem o que dizer. Estou satisfeita.",5
